kode,kategori_usaha,penjelasan,contoh_usaha
KU001,Pertanian - Kehutanan - dan Perikanan,"Usaha pertanian, kehutanan, perikanan budidaya dan tangkap, termasuk pengelolaan hasilnya.","Petani, nelayan, perkebunan, pembibitan ikan"
KU002,Pertambangan dan Penggalian,"Eksplorasi dan ekstraksi sumber daya alam seperti tambang dan batubara.","Tambang batubara, minyak bumi, emas"
KU003,Industri Pengolahan,"Proses pengolahan bahan mentah menjadi barang jadi atau setengah jadi.","Pabrik roti, pabrik tekstil, industri mebel"
KU004,Pengadaan Listrik - Gas - Uap/Air Panas dan Udara Dingin,"Penyediaan energi dan distribusinya untuk masyarakat dan industri.","PLN, provider gas industri, instalasi AC pusat"
KU005,Pengelolaan Air - Limbah dan Remediasi Lingkungan,"Penyediaan air bersih, pengelolaan limbah dan daur ulang.","PDAM, pengelolaan limbah medis"
KU006,Konstruksi,"Konstruksi bangunan dan infrastruktur sipil.","Kontraktor jalan, bangunan gedung, jembatan"
KU007,Perdagangan Besar & Eceran - Reparasi Mobil dan Sepeda Motor,"Jual beli barang tanpa pengolahan, baik grosir maupun eceran, termasuk reparasi kendaraan bermotor.","Toko sembako, minimarket, bengkel motor"
KU008,Pengangkutan dan Pergudangan,"Jasa angkutan darat, laut, udara, dan jasa logistik serta pergudangan.","Ekspedisi, jasa pindahan, pergudangan"
KU009,Penyediaan Akomodasi dan Makan Minum,"Hotel, restoran, katering, kafe, dan usaha kuliner lainnya.","Hotel, restoran, catering"
KU010,Informasi dan Komunikasi,"Pengelolaan media, teknologi informasi, dan komunikasi digital.","Media digital, rintisan aplikasi, pengembang web"
KU011,Aktivitas Keuangan dan Asuransi,"Usaha perbankan, koperasi simpan pinjam, dan asuransi.","Bank, koperasi, fintech, asuransi"
KU012,Real Estat,"Pengelolaan, penyewaan, atau jual beli properti dan real estat.","Agen properti, pengembang perumahan"
KU013,Aktivitas Profesional - Ilmiah dan Teknis,"Jasa profesional seperti konsultan, penelitian, IT, desain, dan sejenisnya.","Konsultan IT, desainer grafis, penerjemah"
KU014,Aktivitas Penyewaan - Ketenagakerjaan - Agen Perjalanan & Penunjang Usaha,"Jasa penyewaan, tenaga kerja alih daya, agen travel, dan layanan penunjang bisnis.","Rental mobil, biro perjalanan, outsourcing"
KU015,Administrasi Pemerintahan dan Jaminan Sosial Wajib,"Kegiatan pemerintahan dan pelayanan jaminan sosial wajib.","Dinas pemerintahan, BPJS"
KU016,Pendidikan,"Lembaga pendidikan formal dan non-formal.","Sekolah, kursus, bimbel"
KU017,Aktivitas Pelayanan Kesehatan dan Kesehatan Hewan,"Pelayanan kesehatan manusia dan hewan.","Klinik, rumah sakit, puskesmas"
KU018,Aktivitas Kesenian - Hiburan dan Rekreasi,"Jasa hiburan seperti EO, seni pertunjukan, bioskop, dll.","EO, studio musik, pelukis"
KU019,Aktivitas Jasa Lainnya,"Jasa pribadi yang tidak diklasifikasikan di tempat lain.","Laundry, salon, tukang cukur"
KU020,Aktivitas Rumah Tangga sebagai Pemberi Kerja,"Aktivitas rumah tangga yang mempekerjakan ART atau pekerja lainnya.","ART, pengasuh, sopir pribadi"
KU021,Aktivitas Badan Internasional dan Organisasi Ekstra Internasional,"Kegiatan badan internasional seperti PBB, lembaga donor internasional.","Kedutaan, LSM internasional"

